epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5675,1.36326,2.37549,1.74886,0.76335,0.1058,0.35325,0.16502,1.50407,3.23654,2.11413,0.000651515,0.000651515,0.000651515
2,52.4712,1.44585,2.19587,1.83382,0.41952,0.43443,0.32399,0.1368,1.99793,3.33981,3.04545,0.00127468,0.00127468,0.00127468
3,75.6425,1.54009,2.08045,1.8622,0.27021,0.2541,0.1374,0.04235,2.26649,3.00307,2.99847,0.00185385,0.00185385,0.00185385
4,99.7984,1.53709,2.00175,1.85364,0.22871,0.22951,0.12301,0.03232,3.11791,3.99842,4.79531,0.001802,0.001802,0.001802
5,124.595,1.56599,1.90451,1.89722,0.58882,0.36885,0.35361,0.15272,2.18718,2.14572,3.21726,0.001736,0.001736,0.001736
6,147.643,1.50859,1.85535,1.84547,0.55488,0.43443,0.45059,0.18039,2.08926,1.8339,2.63129,0.00167,0.00167,0.00167
7,172.875,1.49955,1.7849,1.83572,0.60409,0.45902,0.51074,0.22885,1.84318,1.72755,2.45906,0.001604,0.001604,0.001604
8,198.087,1.4309,1.68166,1.78695,0.56981,0.48361,0.48935,0.19777,1.99175,1.86063,2.47884,0.001538,0.001538,0.001538
9,221.27,1.42913,1.63305,1.77061,0.56699,0.48298,0.46791,0.20982,1.78161,2.17244,2.38272,0.001472,0.001472,0.001472
10,246.302,1.42303,1.60662,1.75712,0.4388,0.34426,0.35632,0.15267,2.02946,2.26765,2.55794,0.001406,0.001406,0.001406
11,270.921,1.40532,1.57013,1.75018,0.60799,0.45767,0.51292,0.25206,1.73269,1.64333,2.17493,0.00134,0.00134,0.00134
12,294.415,1.3767,1.55264,1.70388,0.68159,0.53279,0.58356,0.25861,1.8417,1.49004,2.31908,0.001274,0.001274,0.001274
13,319.516,1.33505,1.49785,1.70024,0.39599,0.43443,0.32469,0.13555,1.81389,4.05742,2.29416,0.001208,0.001208,0.001208
14,344.469,1.38658,1.5201,1.70608,0.79069,0.52641,0.61853,0.30947,1.65193,1.43809,2.13984,0.001142,0.001142,0.001142
15,368.06,1.31568,1.45439,1.66938,0.84148,0.54098,0.64172,0.3259,1.74859,1.45529,2.24668,0.001076,0.001076,0.001076
16,392.77,1.33874,1.39405,1.65746,0.69479,0.53279,0.61621,0.31422,1.70242,1.46494,2.19692,0.00101,0.00101,0.00101
17,417.656,1.31114,1.3068,1.65723,0.84364,0.57496,0.66185,0.34802,1.74456,1.36099,2.24809,0.000944,0.000944,0.000944
18,441.076,1.28152,1.3244,1.62223,0.85472,0.58197,0.6749,0.32587,1.85072,1.27256,2.5617,0.000878,0.000878,0.000878
19,465.66,1.24004,1.28923,1.60871,0.6986,0.46721,0.5118,0.26968,1.65949,1.54577,2.06933,0.000812,0.000812,0.000812
20,490.69,1.23488,1.31202,1.60942,0.80879,0.63934,0.68447,0.36418,1.70985,1.2228,2.19128,0.000746,0.000746,0.000746
21,517.764,1.19471,1.19239,1.71855,0.80701,0.60656,0.68711,0.39824,1.49941,1.13578,1.9068,0.00068,0.00068,0.00068
22,541.112,1.20582,1.12646,1.72519,0.85327,0.572,0.6613,0.39303,1.49218,1.26098,1.96363,0.000614,0.000614,0.000614
23,565.163,1.13118,1.01897,1.65123,0.77939,0.59836,0.70381,0.39961,1.51742,1.20837,1.97394,0.000548,0.000548,0.000548
24,587.196,1.0945,0.98579,1.6113,0.81509,0.63934,0.71515,0.4164,1.53341,1.13927,2.00502,0.000482,0.000482,0.000482
25,611.65,1.07249,0.9544,1.59024,0.82161,0.64754,0.71733,0.40126,1.59484,1.1433,2.07897,0.000416,0.000416,0.000416
26,635.878,1.05052,0.90582,1.55723,0.80462,0.61475,0.72563,0.43066,1.49176,1.10869,1.94896,0.00035,0.00035,0.00035
27,658.71,1.00876,0.87315,1.51227,0.81119,0.62295,0.72005,0.4352,1.5202,1.04678,2.03277,0.000284,0.000284,0.000284
28,683.189,0.99327,0.85606,1.50919,0.84791,0.65574,0.76026,0.46722,1.39983,1.01795,1.83672,0.000218,0.000218,0.000218
29,707.711,0.96754,0.82764,1.48727,0.81912,0.66816,0.77079,0.45558,1.52396,0.98058,2.02533,0.000152,0.000152,0.000152
30,730.673,0.93835,0.75933,1.46554,0.83561,0.66665,0.77689,0.47248,1.46129,0.96134,1.90828,8.6e-05,8.6e-05,8.6e-05
